Farm_ID,State,District,Crop,Season,Farm_Area_Hectares,Rainfall_mm,Avg_Temperature_C,Humidity_pct,Sunlight_Hours_Day,Soil_pH,Soil_Moisture_pct,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Irrigation_Method,Fertilizer_kg_ha,Pesticide_Litre_ha,Seed_Quality_Score,Yield_Tonnes_Ha,Production_Tonnes,Market_Price_INR_Tonne,Total_Cost_INR,Revenue_INR,Profit_INR,Water_Used_m3,Water_Efficiency_t_per_1000m3,Disease_Pest_Risk_pct,Yield_Metric_t_ha,Profit_Margin_Pct,Water_Productivity_t_m3,Total_NPK_kg_ha,Cost_Per_Tonne_INR,Pesticide_Risk_Ratio
SF10020,Andhra Pradesh,Krishna,Pulses,Rabi,14.48,415.8,22.3,48.3,9.1,6.67,28.6,68.3,40.3,88.1,Drip,274.2,8.54,0.87,1.1,15.93,69127,1125931,1101193,-24738,4803,3.317,27.3,1.1,-2.246472689,0.003316677,196.7,70679.91212,0.312820513
SF10021,Punjab,Ludhiana,Rice,Rabi,0.95,409.8,23.2,58.7,7,7.49,24.8,85.6,88.7,83.9,Flood,206,2.22,0.94,1.6,1.52,20424,58222,31044,-27178,1814,0.838,45.8,1.6,-87.5467079,0.000837927,258.2,38303.94737,0.048471616
SF10022,Andhra Pradesh,Krishna,Rice,Rabi,5.62,918.7,22.2,66.8,7.5,7.35,22.8,129.7,65,93.4,Sprinkler,179.8,7.59,0.79,2.4,13.49,19160,427915,258468,-169447,8350,1.616,47.7,2.4,-65.55821224,0.001615569,288.1,31720.90437,0.159119497
SF10023,Karnataka,Raichur,Wheat,Rabi,12.59,212.6,23.2,72.2,8.6,7.35,28,99.3,63,65.7,Drip,162.4,8.68,0.9,1.25,15.74,24218,820257,381191,-439066,6064,2.596,32,1.25,-115.1826775,0.002595646,228,52112.89708,0.27125
SF10024,Telangana,Nalgonda,Groundnut,Kharif,2.49,1021.3,26.1,70.1,6.7,7.31,15.6,127.8,60.1,68.1,Flood,129.7,7.95,0.9,1.08,2.69,64375,186339,173169,-13170,1713,1.57,41.6,1.08,-7.60528732,0.001570344,256,69271.00372,0.191105769
SF10025,Maharashtra,Nashik,Wheat,Zaid,14.47,430.7,32.3,61.2,8.7,6.58,17.1,101.2,37.7,115.8,Rainfed,233.6,3.37,0.66,2.3,33.28,27284,1203928,908012,-295916,3869,8.602,64,2.3,-32.58943714,0.008601706,254.7,36175.72115,0.05265625
SF10026,Madhya Pradesh,Indore,Pulses,Kharif,13.3,853,35.8,85.1,5.2,5.52,25.6,112.5,71.6,98.7,Sprinkler,265.5,4.23,0.67,0.3,3.99,82458,998865,329007,-669858,5584,0.715,75.8,0.3,-203.5999234,0.000714542,282.8,250342.1053,0.055804749
SF10027,Andhra Pradesh,Krishna,Rice,Rabi,13.8,578.3,22.3,61.6,7.7,6.21,18.6,89.4,75.3,81.5,Drip,216.4,2.45,0.98,2.9,40.02,25815,744909,1033116,288207,17866,2.24,56.2,2.9,27.89686734,0.002240009,246.2,18613.41829,0.043594306
SF10028,Gujarat,Rajkot,Rice,Rabi,10.47,93.9,27.3,45.4,7.7,6.89,27,115.6,64.9,123.2,Rainfed,210.2,2.42,0.74,2.45,25.65,21364,545453,547987,2534,9077,2.826,45.7,2.45,0.462419729,0.002825824,303.7,21265.22417,0.052954048
SF10029,Gujarat,Rajkot,Maize,Rabi,12.94,443.1,23,45.7,6.3,6.32,26.4,139.3,51.3,92.5,Sprinkler,286.7,8.22,0.97,3.01,38.95,20272,1176978,789594,-387384,8230,4.733,32.1,3.01,-49.06116308,0.004732685,283.1,30217.66367,0.256074766
SF10030,Gujarat,Rajkot,Groundnut,Zaid,13.15,565.4,32.7,50.7,7.3,6.65,15.6,158,46.8,151,Sprinkler,147.4,5.5,0.89,1.94,25.51,49492,695563,1262541,566978,7423,3.437,30.6,1.94,44.90769013,0.003436616,355.8,27266.28773,0.179738562
SF10031,Telangana,Nalgonda,Chilli,Rabi,11.96,284.2,24.1,62.1,7,6.93,31.7,188.8,47.8,101.6,Rainfed,250.8,4.06,0.66,1.51,18.06,102219,738746,1846075,1107329,4721,3.825,40.2,1.51,59.9828826,0.003825461,338.2,40905.09413,0.100995025
SF10032,Andhra Pradesh,Krishna,Groundnut,Zaid,0.69,372.1,31.7,30.8,7.4,7.92,12.2,127.3,66.2,131.1,Drip,139.4,4.39,0.96,0.3,0.21,54155,43431,11373,-32058,259,0.811,37.4,0.3,-281.8781324,0.000810811,324.6,206814.2857,0.117379679
SF10033,Madhya Pradesh,Indore,Cotton,Kharif,11.35,1066.8,30.3,76.6,6.4,7.56,35.9,104.2,49.9,106.8,Sprinkler,230.7,4.16,0.7,0.64,7.26,72112,782371,523533,-258838,9585,0.757,67.7,0.64,-49.44062743,0.000757433,260.9,107764.6006,0.061447563
SF10034,Andhra Pradesh,Guntur,Maize,Kharif,9.8,849,26.4,88,8.2,6.03,35.5,154.3,49.1,129.8,Sprinkler,220.2,4.34,0.72,3.65,35.77,21914,782502,783864,1362,5884,6.079,52.1,3.65,0.173754631,0.006079198,333.2,21875.92955,0.083301344
SF10035,Punjab,Ludhiana,Wheat,Rabi,11.57,427.5,24,59.3,6.7,6.71,28.5,157.3,71.5,84.3,Sprinkler,186.8,1.13,0.86,3.83,44.31,26126,648827,1157643,508816,5400,8.206,61.4,3.83,43.95275573,0.008205556,313.1,14642.90228,0.018403909
SF10036,Madhya Pradesh,Indore,Cotton,Zaid,7.05,179.4,34.1,55.5,8.7,7,14.8,94.3,66.8,101.3,Flood,231.5,7.26,0.96,0.75,5.29,66996,511293,354409,-156884,5944,0.89,29,0.75,-44.26637021,0.000889973,262.4,96652.74102,0.250344828
SF10037,Telangana,Nalgonda,Cotton,Rabi,3.11,429.3,23.6,60.1,7.9,6.96,20.7,40,73.9,114.2,Drip,229,6.96,0.68,1.71,5.32,52396,243775,278747,34972,1780,2.989,33,1.71,12.54614399,0.002988764,228.1,45822.36842,0.210909091
SF10038,Punjab,Ludhiana,Cotton,Kharif,2.79,820.1,26.3,74.6,7.5,7.62,31.9,123.2,91.7,80.6,Flood,153.2,5.91,0.68,0.7,1.95,66405,175756,129490,-46266,3058,0.638,52.5,0.7,-35.72939995,0.000637672,295.5,90131.28205,0.112571429
SF10039,Telangana,Warangal,Wheat,Kharif,4.69,657.7,27.1,64.9,6.2,7.85,31.9,87.6,87.5,81.5,Drip,218.9,4.78,0.92,0.98,4.6,25408,293568,116877,-176691,2392,1.923,50,0.98,-151.1768783,0.001923077,256.6,63819.13043,0.0956
SF10040,Punjab,Ludhiana,Maize,Kharif,6.12,936,31.8,56.3,7.1,7.03,30.3,91.9,48,103.6,Rainfed,46.3,8.07,0.79,3.24,19.83,24731,321710,490416,168706,2144,9.249,46.7,3.24,34.40059052,0.009249067,243.5,16223.39889,0.172805139
SF10041,Madhya Pradesh,Indore,Pulses,Kharif,12.31,768.4,29,67,6.1,8.22,26.7,69.5,49.1,98.6,Flood,214.2,7.11,0.73,0.3,3.69,95238,791517,351428,-440089,6153,0.6,54.7,0.3,-125.2287809,0.000599707,217.2,214503.252,0.129981718
SF10042,Tamil Nadu,Erode,Wheat,Zaid,13.35,156.6,30.8,51.7,9.9,6.34,19.5,135.7,75,115.5,Sprinkler,158.2,5.76,0.77,1.69,22.56,22869,897488,515925,-381563,7377,3.058,17.1,1.69,-73.9570674,0.003058154,326.2,39782.2695,0.336842105
SF10043,Andhra Pradesh,Krishna,Rice,Kharif,9.47,639.2,22.6,74.9,4.9,5.73,43.6,66.1,54.9,125.5,Rainfed,313.4,4.78,0.94,0.9,8.52,25346,744619,215948,-528671,7926,1.075,52,0.9,-244.8140293,0.001074943,246.5,87396.59624,0.091923077
SF10044,Tamil Nadu,Erode,Wheat,Rabi,7.56,460.1,24,58.7,6.7,6.6,26.4,96.2,42.9,139.3,Sprinkler,241.9,5.34,0.69,2.6,19.66,24887,550176,489278,-60898,4545,4.326,44.7,2.6,-12.44650281,0.004325633,278.4,27984.53713,0.119463087
SF10045,Andhra Pradesh,Krishna,Wheat,Kharif,14.23,853.7,28.2,77.6,6.9,7.04,31.8,109.5,61.7,148.7,Drip,163.7,4.26,0.85,3.35,47.67,23547,980255,1122485,142230,5966,7.99,55.4,3.35,12.67099338,0.007990278,319.9,20563.35221,0.076895307
SF10046,Tamil Nadu,Erode,Wheat,Kharif,2.14,485.7,28,80.1,7.2,8.08,34.7,111,56.6,74.9,Drip,146.2,4.25,0.95,0.32,0.68,25224,116463,17152,-99311,791,0.86,49.4,0.32,-579.0053638,0.000859671,242.5,171269.1176,0.086032389
SF10047,Telangana,Nalgonda,Groundnut,Kharif,5.6,728.5,27,76.7,6.9,6.36,27.4,92.2,72.7,80.9,Sprinkler,194,4.7,0.71,2.63,14.73,53568,337133,789057,451924,3052,4.826,63.2,2.63,57.27393585,0.004826343,245.8,22887.50849,0.074367089
SF10048,Punjab,Ludhiana,Sugarcane,Zaid,7.68,90,31.9,52.7,9.8,6.51,18.3,164,59.6,54.9,Sprinkler,136.9,8.04,0.76,36.69,281.78,3682,480826,1037514,556688,13263,21.246,30,36.69,53.65595067,0.02124557,278.5,1706.387962,0.268
SF10049,Tamil Nadu,Erode,Chilli,Zaid,5.52,91.3,34.1,63,7.2,5.55,20.9,124.8,75.2,130.8,Rainfed,207.3,4.96,0.87,0.3,1.66,102697,376564,170477,-206087,1257,1.321,43.9,0.3,-120.8884483,0.001320605,330.8,226845.7831,0.112984055
SF10050,Tamil Nadu,Erode,Rice,Rabi,8.8,792.2,21.5,51.4,8,7.8,21.8,104.1,61.9,82.3,Flood,223.7,6.7,0.7,0.76,6.69,19703,741670,131813,-609857,15881,0.421,53.6,0.76,-462.6683256,0.000421258,248.3,110862.4813,0.125
SF10051,Telangana,Warangal,Rice,Zaid,9.82,227.2,29.5,63.5,7.6,6.81,17.8,122.5,54.9,97,Flood,162.7,0.62,0.78,2.87,28.18,21316,534995,600685,65690,16682,1.689,49.4,2.87,10.93584824,0.001689246,274.4,18984.91838,0.012550607
SF10052,Gujarat,Rajkot,Pulses,Rabi,8.61,80,24.8,60.9,7.5,5.43,28,107.1,46.4,137.6,Sprinkler,178.1,4.92,1,0.3,2.58,71065,492155,183348,-308807,3106,0.831,40.2,0.3,-168.4267077,0.00083065,291.1,190757.7519,0.12238806
SF10053,Madhya Pradesh,Indore,Rice,Zaid,11.52,206.2,34.3,50.3,10,7.01,32.7,106.7,50.4,98.1,Flood,112.7,6.15,0.87,1.69,19.47,19275,674473,375284,-299189,20211,0.963,18.9,1.69,-79.72335618,0.000963337,255.2,34641.65383,0.325396825
SF10054,Telangana,Nalgonda,Maize,Kharif,3.18,591.2,28.1,63.9,6.8,5.66,30.8,126.9,27.6,137.7,Flood,289.5,5.4,0.77,1.11,3.53,17359,254223,61277,-192946,2327,1.517,39.8,1.11,-314.8750755,0.001516975,292.2,72017.84703,0.135678392
SF10055,Karnataka,Raichur,Rice,Rabi,7.08,460,22.8,57.4,8.5,7.14,19.2,125.2,30.8,126.7,Flood,115.3,6.38,0.94,2.92,20.67,24229,591425,500813,-90612,16012,1.291,29.2,2.92,-18.09298081,0.001290907,282.7,28612.72375,0.218493151
SF10056,Telangana,Warangal,Groundnut,Rabi,11.7,167.3,26.2,62.4,6.8,6.3,21.8,122.8,27.7,135,Drip,240.5,5.39,0.94,1.65982906,19.42,50837,780159,987255,207096,4665,4.163,39.4,1.65982906,20.97695124,0.004162915,285.5,40172.96601,0.13680203
SF10057,Maharashtra,Nashik,Pulses,Rabi,6.91,489.4,24,67.2,9.1,6.46,31,121.2,55.7,107.5,Drip,212,6.15,0.87,1.49,10.3,70845,462116,729704,267588,2165,4.758,34.5,1.49,36.67075965,0.004757506,284.4,44865.63107,0.17826087
SF10058,Maharashtra,Nashik,Maize,Zaid,7.06,336.9,29.4,62,9,7.53,11.3,152.4,63.1,106.1,Rainfed,116.8,4.01,0.86,1.16,8.19,22633,430059,185364,-244695,2031,4.032,33.3,1.16,-132.0078332,0.004032496,321.6,52510.25641,0.12042042
SF10059,Karnataka,Raichur,Maize,Zaid,6.62,278.1,31.1,59.3,8.3,7.55,19.1,129.3,82,47,Flood,168,2.1,0.89,1.34,8.87,18651,455124,165434,-289690,5550,1.598,47.6,1.34,-175.109107,0.001598198,258.3,51310.48478,0.044117647
SF10060,Tamil Nadu,Erode,Groundnut,Kharif,10,664.7,25.1,72.3,6.8,6.49,32.8,118.6,31.3,69.5,Flood,139.1,5.53,0.76,2.07,20.7,59223,619756,1225916,606160,7146,2.897,42.2,2.07,49.44547587,0.002896725,219.4,29939.90338,0.131042654
SF10061,Andhra Pradesh,Guntur,Groundnut,Kharif,14.38,1002,27.9,63,5.5,6.62,30.2,127.4,61.8,86.2,Rainfed,194.4,5.01,0.97,1.73,24.88,53834,972766,1339390,366624,4408,5.644,66.6,1.73,27.3724606,0.005644283,275.4,39098.3119,0.075225225
SF10062,Punjab,Ludhiana,Cotton,Rabi,14.23,404.4,19.4,55.8,7.9,6.99,22.6,182,52.9,80.5,Drip,127.2,1.21,0.9,1.8,25.61,70385,815920,1802560,986640,9798,2.614,50.7,1.8,54.73548731,0.002613799,315.4,31859.42991,0.023865878
SF10063,Telangana,Warangal,Cotton,Zaid,5.46,148.5,31.2,59.9,7.7,6.31,21.5,81.9,56,124.3,Flood,157.7,3.34,0.7,0.91,4.97,66056,309945,328298,18353,4831,1.029,31.8,0.91,5.590347794,0.001028773,262.2,62363.17907,0.105031447
SF10064,Telangana,Warangal,Rice,Kharif,3.95,1028.8,24.2,69.2,6.2,5.95,29.4,105.4,48.3,123.3,Flood,136.3,4.4,0.92,1.62,6.4,23591,258728,150982,-107746,8230,0.778,46.8,1.62,-71.36347379,0.000777643,277,40426.25,0.094017094
SF10065,Madhya Pradesh,Indore,Pulses,Kharif,14.43,1012.7,30.2,65.2,7.9,6.71,23.2,102.9,66.6,93.5,Rainfed,276.7,5.63,0.97,0.99,14.29,86381,980375,1234384,254009,2290,6.24,53.6,0.99,20.57779427,0.006240175,263,68605.6683,0.105037313
SF10066,Gujarat,Rajkot,Groundnut,Rabi,7.49,234.8,20.5,49.1,8.4,6.55,30.3,84.7,72.9,72.2,Sprinkler,107.5,3.99,0.82,1.42,10.64,60410,506733,642762,136029,3460,3.075,59.9,1.42,21.16319882,0.003075145,229.8,47625.28195,0.066611018
SF10067,Gujarat,Rajkot,Wheat,Rabi,7.25,410,23.4,61.1,9.4,7.08,28.3,199.3,60.4,66.8,Flood,198.1,7.33,0.8,2.66,19.28,20402,542011,393351,-148660,4731,4.075,41.4,2.66,-37.79321776,0.004075248,326.5,28112.60373,0.17705314
SF10068,Punjab,Ludhiana,Pulses,Rabi,5.28,498.8,26.9,51.3,7.5,6.21,29,152.6,48.9,95.2,Drip,114.7,5.33,0.69,1.37,7.23,71305,292198,515535,223337,1540,4.695,44.1,1.37,43.32140398,0.004694805,296.7,40414.66113,0.120861678
SF10069,Karnataka,Raichur,Rice,Kharif,12.69,851.6,27.7,81.1,6,7.6,31.2,124.5,74.6,136.5,Flood,165.3,7.52,0.8,1.59,20.18,20502,865223,413730,-451493,22011,0.917,48.8,1.59,-109.1274503,0.000916814,335.6,42875.27255,0.154098361
SF10070,Telangana,Warangal,Maize,Kharif,2.82,960.7,27.6,68.2,8.9,7.29,35.7,111.9,65.9,104.9,Flood,139.8,2.74,0.66,2.73,7.7,23906,171757,184076,12319,2056,3.745,59.3,2.73,6.692344466,0.003745136,282.7,22306.1039,0.046205734
SF10071,Andhra Pradesh,Krishna,Cotton,Rabi,14.72,338.5,21.2,68.5,7.7,6.06,25.7,132.5,15,148.5,Drip,145.7,6.76,0.84,1,14.72,61717,960387,908474,-51913,9888,1.489,35.8,1,-5.714307729,0.001488673,296,65243.68207,0.188826816
SF10072,Andhra Pradesh,Krishna,Maize,Rabi,1.48,342,19.3,62.5,8.2,6.73,31.4,112.7,75.1,112.8,Sprinkler,149.1,6.66,0.7,3.61,5.34,19548,105743,104386,-1357,916,5.83,29.3,3.61,-1.299982756,0.005829694,300.6,19802.05993,0.227303754
SF10073,Andhra Pradesh,Krishna,Cotton,Kharif,7.37,765.5,26.4,89,6.4,7.28,30.3,119.2,63.4,140.7,Sprinkler,110.1,7.05,0.73,1.38,10.17,71337,478922,725497,246575,6169,1.649,55.2,1.38,33.98704612,0.001648565,323.3,47091.64208,0.127717391
SF10074,Karnataka,Raichur,Maize,Rabi,1.41,80,26.2,64.6,7.6,6.76,30.1,85.8,38.5,128.9,Drip,121.9,6.85,0.95,3.26,4.6,19255,84476,88573,4097,777,5.92,26.7,3.26,4.625563095,0.005920206,253.2,18364.34783,0.256554307
SF10075,Telangana,Nalgonda,Wheat,Kharif,13.3,935.5,28,55.6,6.8,7.21,27.3,131.9,48.9,93.9,Drip,149.7,0.64,0.72,2.77,36.84,22812,657906,840394,182488,5715,6.446,59,2.77,21.71457673,0.006446194,274.7,17858.46906,0.010847458
SF10076,Andhra Pradesh,Guntur,Sugarcane,Kharif,10.64,869,33.2,82.3,5.6,6.42,37.4,148,104.4,90.2,Flood,212.2,5.8,0.79,62.58,665.85,3651,755288,2431018,1675730,23608,28.204,58.8,62.58,68.93120495,0.028204422,342.6,1134.321544,0.098639456
SF10077,Tamil Nadu,Erode,Rice,Kharif,9.53,895.9,29.3,69.4,6.7,6.55,33.2,97.8,56.4,132.2,Flood,194.7,4.54,0.82,3.51,33.45,24003,693617,802900,109283,15015,2.228,46.1,3.51,13.611035,0.002227772,286.4,20735.93423,0.098481562
SF10078,Maharashtra,Nashik,Rice,Kharif,12.47,752.1,30,79.9,7.6,5.69,35.2,107.1,72,59.2,Drip,302.2,3.21,0.83,1.21,15.09,20835,870507,314400,-556107,17522,0.861,52,1.21,-176.8788168,0.000861203,238.3,57687.67396,0.061730769
SF10079,Telangana,Nalgonda,Chilli,Rabi,10,288.6,23.8,61.1,6.9,6.65,26.4,151.5,67.7,182.6,Flood,154.3,1.94,0.9,2.18,21.8,106176,681239,2314637,1633398,6656,3.275,48.4,2.18,70.56821437,0.00327524,401.8,31249.49541,0.040082645
SF10080,Maharashtra,Nashik,Sugarcane,Zaid,9.29,353.9,30.6,46.8,9.1,7.31,8.4,126.5,100.8,101.3,Rainfed,167.2,3.45,0.9,33.55,311.68,3955,541528,1232694,691166,8213,37.95,31.2,33.55,56.06955173,0.037949592,328.6,1737.448665,0.110576923
SF10081,Punjab,Ludhiana,Wheat,Rabi,9.89,336.6,21.1,47.1,7.6,6.98,21.9,131.3,60.5,132.2,Drip,137,6.19,0.7,2.45,24.23,24188,543083,586075,42992,4311,5.621,31.4,2.45,7.335579917,0.005620506,324,22413.66075,0.197133758
SF10082,Telangana,Nalgonda,Chilli,Kharif,4.98,840.8,28,70.9,7.9,5.66,28.3,134.4,46.7,94.8,Flood,151.4,7.02,0.77,0.6,2.99,101883,291542,304630,13088,4366,0.685,53.4,0.6,4.296359518,0.000684837,275.9,97505.68562,0.131460674
SF10083,Karnataka,Raichur,Sugarcane,Rabi,2.46,629.3,23.5,47.5,8.9,6.32,27.2,158.9,44.2,116.8,Rainfed,139.4,6.41,0.83,49.52,121.82,3654,165909,445130,279221,2611,46.656,35.2,49.52,62.72796711,0.046656453,319.9,1361.919225,0.182102273
SF10084,Telangana,Warangal,Pulses,Rabi,7.06,347.6,24.4,51.4,6.9,6.69,19.7,121.2,40,78.1,Sprinkler,128.3,4.81,0.76,1.01,7.13,74942,364864,534336,169472,2392,2.981,44.1,1.01,31.71637322,0.002980769,239.3,51173.07153,0.109070295
SF10085,Andhra Pradesh,Guntur,Wheat,Rabi,14.18,306.6,24.3,49.5,7.9,6.68,24,161,49.7,135.6,Rainfed,173.4,9.13,0.9,2.54,36.02,22904,958688,825002,-133686,4746,7.59,33.9,2.54,-16.20432435,0.007589549,346.3,26615.43587,0.269321534
SF10086,Andhra Pradesh,Krishna,Rice,Kharif,11.43,1007.5,27.9,63.6,6.3,6.4,26.3,83.8,47.9,124.7,Flood,249.6,2.55,0.98,3.33,38.06,17866,836159,679980,-156179,17890,2.127,54.5,3.33,-22.96817553,0.002127446,256.4,21969.49553,0.046788991
SF10087,Andhra Pradesh,Guntur,Wheat,Kharif,2.94,999.5,31.1,77.8,8,6.92,39.9,143,51.8,94.6,Sprinkler,132.4,4.74,0.9,2.65,7.79,24206,176531,188565,12034,1608,4.845,48.3,2.65,6.381884231,0.004844527,289.4,22661.23235,0.098136646
SF10088,Telangana,Warangal,Chilli,Kharif,5.72,931,28.2,70.2,8.9,6.93,27.8,77.7,68.9,107.2,Rainfed,236.9,5.57,0.8,1.98,11.33,109884,453409,1244986,791577,1628,6.959,55.9,1.98,63.5811969,0.006959459,253.8,40018.4466,0.099642218
SF10089,Karnataka,Raichur,Chilli,Kharif,13.29,782.6,22.9,55.5,5.9,6.55,37.3,80.3,58.6,92,Rainfed,106.8,8.08,0.82,2.19,29.11,92503,635701,2692762,2057061,4522,6.437,34.3,2.19,76.39223221,0.006437417,230.9,21837.89076,0.235568513
SF10090,Madhya Pradesh,Indore,Rice,Rabi,13.57,281.2,24.2,49.5,7.6,6.53,20.7,121.1,51.8,83.1,Drip,207.9,4.54,0.99,3.39,46,19221,896302,884166,-12136,20830,2.208,37.6,3.39,-1.372592929,0.002208353,256,19484.82609,0.120744681
